Category	Subcategory	Subsystem	Role	Features
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit A	fig|6666666.5373.peg.6547, fig|6666666.5373.peg.6544, fig|6666666.5373.peg.6546
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit B	fig|6666666.5373.peg.2292, fig|6666666.5373.peg.3191, fig|6666666.5373.peg.2291, fig|6666666.5373.peg.2293, fig|6666666.5373.peg.3190
DNA Metabolism	DNA repair	DNA repair, bacterial photolyase	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	fig|6666666.5373.peg.6873, fig|6666666.5373.peg.6872
DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives	DinG family ATP-dependent helicase YoaA	fig|6666666.5373.peg.7266, fig|6666666.5373.peg.2243
DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives	ATP-dependent helicase DinG/Rad3	fig|6666666.5373.peg.5053, fig|6666666.5373.peg.5054, fig|6666666.5373.peg.5055, fig|6666666.5373.peg.5056
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Iron-sulfur cluster-binding protein	fig|6666666.5373.peg.4275, fig|6666666.5373.peg.4274
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YqaB	fig|6666666.5373.peg.1689, fig|6666666.5373.peg.1688
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	fig|6666666.5373.peg.7430, fig|6666666.5373.peg.7432, fig|6666666.5373.peg.7431
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	2-deoxyglucose-6-phosphate hydrolase YniC	fig|6666666.5373.peg.2036, fig|6666666.5373.peg.768
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	fig|6666666.5373.peg.2788, fig|6666666.5373.peg.2789
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YieH	fig|6666666.5373.peg.2711
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Phosphoglycolate phosphatase (EC 3.1.3.18)	fig|6666666.5373.peg.2790
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YfbT	fig|6666666.5373.peg.1085
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA mismatch repair endonuclease MutH	fig|6666666.5373.peg.3564
DNA Metabolism	DNA repair	DNA repair, bacterial	Exonuclease SbcD	fig|6666666.5373.peg.4352
DNA Metabolism	DNA repair	DNA repair, bacterial	ADA regulatory protein	fig|6666666.5373.peg.7680, fig|6666666.5373.peg.7681
DNA Metabolism	DNA repair	DNA repair, bacterial	SOS-response repressor and protease LexA (EC 3.4.21.88)	fig|6666666.5373.peg.6766, fig|6666666.5373.peg.7306, fig|6666666.5373.peg.7307
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadC	fig|6666666.5373.peg.3864
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-cytosine methyltransferase (EC 2.1.1.37)	fig|6666666.5373.peg.764, fig|6666666.5373.peg.762, fig|6666666.5373.peg.763
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA polymerase IV (EC 2.7.7.7)	fig|6666666.5373.peg.124
DNA Metabolism	DNA repair	DNA repair, bacterial	Very-short-patch mismatch repair endonuclease (G-T specific)	fig|6666666.5373.peg.761
DNA Metabolism	DNA repair	DNA repair, bacterial	Exonuclease SbcC	fig|6666666.5373.peg.4287, fig|6666666.5373.peg.4286
DNA Metabolism	DNA repair	DNA repair, bacterial	Endonuclease V (EC 3.1.21.7)	fig|6666666.5373.peg.635
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-damage-inducible protein J	fig|6666666.5373.peg.1565
DNA Metabolism	DNA repair	DNA repair, bacterial	Single-stranded DNA-binding protein	fig|6666666.5373.peg.7063, fig|6666666.5373.peg.5765
DNA Metabolism	DNA repair	DNA repair, bacterial	Alkylated DNA repair protein AlkB	fig|6666666.5373.peg.7682
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	fig|6666666.5373.peg.1759
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadA	fig|6666666.5373.peg.6182, fig|6666666.5373.peg.6181
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	fig|6666666.5373.peg.3751, fig|6666666.5373.peg.2757, fig|6666666.5373.peg.3750
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RecN	fig|6666666.5373.peg.3302, fig|6666666.5373.peg.3303
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-damage-inducible protein I	fig|6666666.5373.peg.6615
DNA Metabolism	DNA repair	DNA repair, bacterial	A/G-specific adenine glycosylase (EC 3.2.2.-)	fig|6666666.5373.peg.974, fig|6666666.5373.peg.973
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination protein RmuC	fig|6666666.5373.peg.7642, fig|6666666.5373.peg.3941, fig|6666666.5373.peg.1213
DNA Metabolism	DNA repair	DNA repair, bacterial	Recombinational DNA repair protein RecT (prophage associated)	fig|6666666.5373.peg.2937
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination-dependent growth factor C	fig|6666666.5373.peg.7450
DNA Metabolism	DNA repair	DNA repair, bacterial	G:T/U mismatch-specific uracil/thymine DNA-glycosylase	fig|6666666.5373.peg.7284, fig|6666666.5373.peg.7283
DNA Metabolism	DNA repair	DNA repair, bacterial	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	fig|6666666.5373.peg.7680, fig|6666666.5373.peg.7681
DNA Metabolism	DNA repair	DNA repair, bacterial	Endonuclease IV (EC 3.1.21.2)	fig|6666666.5373.peg.5232
DNA Metabolism	DNA repair	DNA repair, bacterial	Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	fig|6666666.5373.peg.2787
DNA Metabolism	DNA repair	DNA repair, bacterial	RecA protein	fig|6666666.5373.peg.1653, fig|6666666.5373.peg.1654, fig|6666666.5373.peg.1655
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease III (EC 3.1.11.2)	fig|6666666.5373.peg.6907
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	Single-stranded DNA-binding protein	fig|6666666.5373.peg.7063, fig|6666666.5373.peg.5765
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	Error-prone repair protein UmuD	fig|6666666.5373.peg.7075, fig|6666666.5373.peg.7074, fig|6666666.5373.peg.1377
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	SOS-response repressor and protease LexA (EC 3.4.21.88)	fig|6666666.5373.peg.6766, fig|6666666.5373.peg.7306, fig|6666666.5373.peg.7307
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	RecA protein	fig|6666666.5373.peg.1653, fig|6666666.5373.peg.1654, fig|6666666.5373.peg.1655
DNA Metabolism	DNA repair	DNA repair, bacterial UmuCD system	Error-prone, lesion bypass DNA polymerase V (UmuC)	fig|6666666.5373.peg.5835, fig|6666666.5373.peg.2657, fig|6666666.5373.peg.7906, fig|6666666.5373.peg.1378, fig|6666666.5373.peg.5834, fig|6666666.5373.peg.1379, fig|6666666.5373.peg.7794
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	ATP-dependent DNA helicase RecQ	fig|6666666.5373.peg.6754, fig|6666666.5373.peg.6753, fig|6666666.5373.peg.6752
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.5373.peg.985, fig|6666666.5373.peg.1909
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded DNA-binding protein	fig|6666666.5373.peg.7063, fig|6666666.5373.peg.5765
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Recombination protein RecR	fig|6666666.5373.peg.2458
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	RecA protein	fig|6666666.5373.peg.1653, fig|6666666.5373.peg.1654, fig|6666666.5373.peg.1655
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecO	fig|6666666.5373.peg.3721, fig|6666666.5373.peg.3722
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecF	fig|6666666.5373.peg.158
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	fig|6666666.5373.peg.4998, fig|6666666.5373.peg.4999, fig|6666666.5373.peg.4995, fig|6666666.5373.peg.4996, fig|6666666.5373.peg.4997
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	fig|6666666.5373.peg.673, fig|6666666.5373.peg.672, fig|6666666.5373.peg.676, fig|6666666.5373.peg.674, fig|6666666.5373.peg.675
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Protease III precursor (EC 3.4.24.55)	fig|6666666.5373.peg.2013, fig|6666666.5373.peg.128, fig|6666666.5373.peg.2014
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	fig|6666666.5373.peg.935, fig|6666666.5373.peg.4993, fig|6666666.5373.peg.4994
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase II (EC 2.7.7.7)	fig|6666666.5373.peg.2745, fig|6666666.5373.peg.2746
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	fig|6666666.5373.peg.136, fig|6666666.5373.peg.137
DNA Metabolism	DNA repair	DNA Repair Base Excision	Uracil-DNA glycosylase, family 1	fig|6666666.5373.peg.2407, fig|6666666.5373.peg.2406
DNA Metabolism	DNA repair	DNA Repair Base Excision	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	fig|6666666.5373.peg.3861, fig|6666666.5373.peg.3860
DNA Metabolism	DNA repair	DNA Repair Base Excision	Endonuclease VIII	fig|6666666.5373.peg.6899
DNA Metabolism	DNA repair	DNA Repair Base Excision	Endonuclease III (EC 4.2.99.18)	fig|6666666.5373.peg.714
DNA Metabolism	DNA repair	DNA Repair Base Excision	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.5373.peg.985, fig|6666666.5373.peg.1909
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA ligase (EC 6.5.1.2)	fig|6666666.5373.peg.4452, fig|6666666.5373.peg.4451
DNA Metabolism	DNA repair	DNA Repair Base Excision	Exodeoxyribonuclease I (EC 3.1.11.1)	fig|6666666.5373.peg.4970, fig|6666666.5373.peg.4969, fig|6666666.5373.peg.4968
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase I (EC 2.7.7.7)	fig|6666666.5373.peg.7210, fig|6666666.5373.peg.7209
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	DNA helicase IV	fig|6666666.5373.peg.4261, fig|6666666.5373.peg.4260
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase Rep	fig|6666666.5373.peg.211, fig|6666666.5373.peg.213, fig|6666666.5373.peg.212
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase UvrD/PcrA	fig|6666666.5373.peg.5170, fig|6666666.5373.peg.130, fig|6666666.5373.peg.5171
DNA Metabolism	CRISPs	CRISPRs	CRISPR-associated protein Cas1	fig|6666666.5373.peg.6340
DNA Metabolism	CRISPs	CRISPRs	CRISPR-associated helicase Cas3, protein	fig|6666666.5373.peg.1178
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	fig|6666666.5373.peg.2965, fig|6666666.5373.peg.2967, fig|6666666.5373.peg.2966
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	fig|6666666.5373.peg.773, fig|6666666.5373.peg.2963, fig|6666666.5373.peg.774, fig|6666666.5373.peg.2964
DNA Metabolism	DNA Metabolism - no subcategory	Type I Restriction-Modification	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	fig|6666666.5373.peg.4686
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	fig|6666666.5373.peg.2965, fig|6666666.5373.peg.2967, fig|6666666.5373.peg.2966
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type III restriction-modification system methylation subunit (EC 2.1.1.72)	fig|6666666.5373.peg.5078, fig|6666666.5373.peg.5077
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	fig|6666666.5373.peg.4686
DNA Metabolism	DNA Metabolism - no subcategory	Restriction-Modification System	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	fig|6666666.5373.peg.773, fig|6666666.5373.peg.2963, fig|6666666.5373.peg.774, fig|6666666.5373.peg.2964
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Putative deoxyribonuclease YcfH	fig|6666666.5373.peg.3641
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Putative deoxyribonuclease YjjV	fig|6666666.5373.peg.6269
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein HU-alpha	fig|6666666.5373.peg.633
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein MukF	fig|6666666.5373.peg.6958
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein MukB	fig|6666666.5373.peg.7148, fig|6666666.5373.peg.7151, fig|6666666.5373.peg.1763, fig|6666666.5373.peg.7150, fig|6666666.5373.peg.7149
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Integration host factor beta subunit	fig|6666666.5373.peg.5914
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Integration host factor alpha subunit	fig|6666666.5373.peg.2245
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein HU-beta	fig|6666666.5373.peg.247
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein MukE	fig|6666666.5373.peg.6959
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein Fis	fig|6666666.5373.peg.5560
DNA Metabolism	DNA replication	DNA-replication	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	fig|6666666.5373.peg.1942, fig|6666666.5373.peg.6285, fig|6666666.5373.peg.1986
DNA Metabolism	DNA replication	DNA-replication	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	fig|6666666.5373.peg.673, fig|6666666.5373.peg.672, fig|6666666.5373.peg.676, fig|6666666.5373.peg.674, fig|6666666.5373.peg.675
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III alpha subunit (EC 2.7.7.7)	fig|6666666.5373.peg.6314, fig|6666666.5373.peg.6316, fig|6666666.5373.peg.1969, fig|6666666.5373.peg.6315
DNA Metabolism	DNA replication	DNA-replication	Transcription-repair coupling factor	fig|6666666.5373.peg.1697, fig|6666666.5373.peg.165, fig|6666666.5373.peg.6092
DNA Metabolism	DNA replication	DNA-replication	Holliday junction DNA helicase RuvA	fig|6666666.5373.peg.1312, fig|6666666.5373.peg.1311
DNA Metabolism	DNA replication	DNA-replication	ATP-dependent DNA helicase RecQ	fig|6666666.5373.peg.6754, fig|6666666.5373.peg.6753, fig|6666666.5373.peg.6752
DNA Metabolism	DNA replication	DNA-replication	Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	fig|6666666.5373.peg.4998, fig|6666666.5373.peg.4999, fig|6666666.5373.peg.4995, fig|6666666.5373.peg.4996, fig|6666666.5373.peg.4997
DNA Metabolism	DNA replication	DNA-replication	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.5373.peg.985, fig|6666666.5373.peg.1909
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III delta prime subunit (EC 2.7.7.7)	fig|6666666.5373.peg.448
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase I (EC 2.7.7.7)	fig|6666666.5373.peg.7210, fig|6666666.5373.peg.7209
DNA Metabolism	DNA replication	DNA-replication	Replicative DNA helicase (EC 3.6.1.-)	fig|6666666.5373.peg.5599
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase II (EC 2.7.7.7)	fig|6666666.5373.peg.2745, fig|6666666.5373.peg.2746
DNA Metabolism	DNA replication	DNA-replication	DNA repair protein RecN	fig|6666666.5373.peg.3302, fig|6666666.5373.peg.3303
DNA Metabolism	DNA replication	DNA-replication	Chromosomal replication initiator protein DnaA	fig|6666666.5373.peg.7399, fig|6666666.5373.peg.7400, fig|6666666.5373.peg.6783, fig|6666666.5373.peg.160
DNA Metabolism	DNA replication	DNA-replication	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	fig|6666666.5373.peg.935, fig|6666666.5373.peg.4993, fig|6666666.5373.peg.4994
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	fig|6666666.5373.peg.2456, fig|6666666.5373.peg.2454, fig|6666666.5373.peg.2453, fig|6666666.5373.peg.2455
DNA Metabolism	DNA replication	DNA-replication	DNA replication terminus site-binding protein	fig|6666666.5373.peg.1556
DNA Metabolism	DNA replication	DNA-replication	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	fig|6666666.5373.peg.5760, fig|6666666.5373.peg.5759, fig|6666666.5373.peg.5758
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III beta subunit (EC 2.7.7.7)	fig|6666666.5373.peg.159
DNA Metabolism	DNA replication	DNA-replication	Helicase PriA essential for oriC/DnaA-independent DNA replication	fig|6666666.5373.peg.5688, fig|6666666.5373.peg.5686, fig|6666666.5373.peg.5687
DNA Metabolism	DNA replication	DNA-replication	RecA protein	fig|6666666.5373.peg.1653, fig|6666666.5373.peg.1654, fig|6666666.5373.peg.1655
DNA Metabolism	DNA replication	DNA-replication	DNA primase (EC 2.7.7.-)	fig|6666666.5373.peg.3799, fig|6666666.5373.peg.6201, fig|6666666.5373.peg.2081, fig|6666666.5373.peg.3800, fig|6666666.5373.peg.3798
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III delta subunit (EC 2.7.7.7)	fig|6666666.5373.peg.4912
DNA Metabolism	DNA replication	DNA-replication	Primosomal protein I	fig|6666666.5373.peg.5008, fig|6666666.5373.peg.6442, fig|6666666.5373.peg.2079, fig|6666666.5373.peg.6441, fig|6666666.5373.peg.4992, fig|6666666.5373.peg.6769
DNA Metabolism	DNA replication	DNA-replication	Recombination protein RecR	fig|6666666.5373.peg.2458
DNA Metabolism	DNA replication	DNA-replication	DNA replication protein DnaC	fig|6666666.5373.peg.5010, fig|6666666.5373.peg.300, fig|6666666.5373.peg.2078, fig|6666666.5373.peg.5009
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III psi subunit (EC 2.7.7.7)	fig|6666666.5373.peg.7652
DNA Metabolism	DNA replication	DNA-replication	Primosomal replication protein N prime prime	fig|6666666.5373.peg.2450
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III epsilon subunit (EC 2.7.7.7)	fig|6666666.5373.peg.1999
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III chi subunit (EC 2.7.7.7)	fig|6666666.5373.peg.7144
DNA Metabolism	DNA replication	DNA-replication	DNA polymerase III theta subunit (EC 2.7.7.7)	fig|6666666.5373.peg.6734, fig|6666666.5373.peg.6735
DNA Metabolism	DNA replication	DNA-replication	Holliday junction DNA helicase RuvB	fig|6666666.5373.peg.1309, fig|6666666.5373.peg.1308, fig|6666666.5373.peg.1310
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	DNA gyrase subunit B (EC 5.99.1.3)	fig|6666666.5373.peg.806, fig|6666666.5373.peg.805, fig|6666666.5373.peg.807
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	DNA gyrase subunit A (EC 5.99.1.3)	fig|6666666.5373.peg.4200
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	Topoisomerase IV subunit B (EC 5.99.1.-)	fig|6666666.5373.peg.1366, fig|6666666.5373.peg.3885, fig|6666666.5373.peg.3886, fig|6666666.5373.peg.3884
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	Topoisomerase IV subunit A (EC 5.99.1.-)	fig|6666666.5373.peg.7231, fig|6666666.5373.peg.5375, fig|6666666.5373.peg.5376, fig|6666666.5373.peg.7230
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	fig|6666666.5373.peg.5760, fig|6666666.5373.peg.5759, fig|6666666.5373.peg.5758
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Holliday junction DNA helicase RuvA	fig|6666666.5373.peg.1312, fig|6666666.5373.peg.1311
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Holliday junction DNA helicase RuvB	fig|6666666.5373.peg.1309, fig|6666666.5373.peg.1308, fig|6666666.5373.peg.1310
DNA Metabolism	DNA uptake, competence	DNA processing cluster	FIG000557: hypothetical protein co-occurring with RecR	fig|6666666.5373.peg.2457
DNA Metabolism	DNA uptake, competence	DNA processing cluster	Protein involved in catabolism of external DNA	fig|6666666.5373.peg.4234
DNA Metabolism	DNA uptake, competence	DNA processing cluster	Recombination protein RecR	fig|6666666.5373.peg.2458
DNA Metabolism	DNA uptake, competence	DNA processing cluster	DNA topoisomerase III (EC 5.99.1.2)	fig|6666666.5373.peg.1226, fig|6666666.5373.peg.1227, fig|6666666.5373.peg.4529
DNA Metabolism	DNA uptake, competence	DNA processing cluster	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	fig|6666666.5373.peg.2456, fig|6666666.5373.peg.2454, fig|6666666.5373.peg.2453, fig|6666666.5373.peg.2455
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Cardiolipin synthesis	Cardiolipin synthetase (EC 2.7.8.-)	fig|6666666.5373.peg.4811, fig|6666666.5373.peg.4809, fig|6666666.5373.peg.4810, fig|6666666.5373.peg.5069, fig|6666666.5373.peg.5067, fig|6666666.5373.peg.4573, fig|6666666.5373.peg.4574, fig|6666666.5373.peg.5066, fig|6666666.5373.peg.4575, fig|6666666.5373.peg.5068
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Cardiolipin synthesis	FIG002901: hypothetical protein co-occurring with Cardiolipin synthetase	fig|6666666.5373.peg.5070
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	fig|6666666.5373.peg.6154, fig|6666666.5373.peg.6155
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.5373.peg.4894, fig|6666666.5373.peg.1698, fig|6666666.5373.peg.2066, fig|6666666.5373.peg.3290, fig|6666666.5373.peg.4891, fig|6666666.5373.peg.2354, fig|6666666.5373.peg.258, fig|6666666.5373.peg.3289, fig|6666666.5373.peg.7523, fig|6666666.5373.peg.7665, fig|6666666.5373.peg.4892, fig|6666666.5373.peg.259
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Phosphatidylglycerophosphatase A (EC 3.1.3.27)	fig|6666666.5373.peg.6426
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	fig|6666666.5373.peg.2417
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	fig|6666666.5373.peg.1725, fig|6666666.5373.peg.1726
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerol kinase (EC 2.7.1.30)	fig|6666666.5373.peg.7464
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	fig|6666666.5373.peg.4951, fig|6666666.5373.peg.4952
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	fig|6666666.5373.peg.2030
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Phosphatidylserine decarboxylase (EC 4.1.1.65)	fig|6666666.5373.peg.998
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	fig|6666666.5373.peg.7309, fig|6666666.5373.peg.7310, fig|6666666.5373.peg.7311
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	fig|6666666.5373.peg.1940, fig|6666666.5373.peg.1939, fig|6666666.5373.peg.1941
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Aldehyde dehydrogenase B (EC 1.2.1.22)	fig|6666666.5373.peg.2352, fig|6666666.5373.peg.2353, fig|6666666.5373.peg.2350
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	fig|6666666.5373.peg.5373
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Diacylglycerol kinase (EC 2.7.1.107)	fig|6666666.5373.peg.7308
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	fig|6666666.5373.peg.6663, fig|6666666.5373.peg.1079
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	fig|6666666.5373.peg.3065
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Cardiolipin synthetase (EC 2.7.8.-)	fig|6666666.5373.peg.4811, fig|6666666.5373.peg.4809, fig|6666666.5373.peg.4810, fig|6666666.5373.peg.5069, fig|6666666.5373.peg.5067, fig|6666666.5373.peg.4573, fig|6666666.5373.peg.4574, fig|6666666.5373.peg.5066, fig|6666666.5373.peg.4575, fig|6666666.5373.peg.5068
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Acyl carrier protein	fig|6666666.5373.peg.6808
